reg_std,mean,median,length,featsavg,feats_std,feats_med,th25,th50,th75,low,class
13.421,112.31,114.59,802,89.428,10.616,93.925,81.795,93.925,98.677,57.96,0
17.746,111.79,118.73,1207,78.847,16.741,81.586,69.03,81.586,92.052,35.863,0
14.207,111.69,115.02,1561,85.536,10.694,87.556,78.367,87.556,94.156,51.639,0
14.52,112.2,116.7,2315,86.415,14.256,89.612,81.755,89.612,97.232,14.787,2
19.879,108.81,115.28,1946,75.866,18.825,81.432,64.386,81.432,90.724,19.449,1
17.851,108.14,113,1937,80.773,12.074,83.047,71.671,83.047,91.665,47.4,1
17.719,109.38,114.38,2039,79.206,13.575,81.341,67.997,81.341,91.05,34.45,1
19.7,105.98,112.61,1523,76.227,17.472,83.128,65.301,83.128,89.564,16.069,1
17.45,108.22,113,1441,80.289,13.048,82.823,71.403,82.823,91.303,38.598,1
20.573,103.86,112.36,633,75.888,12.818,79.182,66.407,79.182,87.314,32.174,1
14.128,113.14,116.66,3842,85.933,14.469,90.933,78.185,90.933,96.335,32.256,2
16.177,109.96,114.53,1597,82.644,14.65,88.041,75.175,88.041,94.769,37.501,0
13.978,111.66,114.1,2644,86.85,11.008,89.031,81.925,89.031,95.639,42.715,1
15.02,112.96,118.74,776,86.056,11.464,87.848,77.867,87.848,95.88,57.495,0
13.177,111.52,113.5,6407,88.408,10.511,89.5,83.581,89.5,96.702,22.258,2
14.405,111.11,114.56,2110,85.651,11.31,88.56,81.04,88.56,93.869,47.507,1
20.4,106.69,112.85,2412,75.119,17.331,79.87,63.899,79.87,88.834,25.423,1
14.567,110.36,112.91,1067,85.162,11.337,88.234,80.237,88.234,94.178,44.117,1
12.316,112.42,114.04,1017,89.962,7.2952,90.478,87.213,90.478,95.127,69.974,1
16.052,111.56,115.63,1233,83.111,18.008,89.295,77.742,89.295,94.787,17.977,1
16.465,107.85,112.51,1239,81.676,15.356,87.531,73.935,87.531,93.224,25.882,1
19.915,102.71,106.73,706,74.599,17.447,82.083,63.523,82.083,88.764,31.221,0
16.954,107.98,112.68,532,80.9,12.541,83.405,73.417,83.405,91.853,46.743,0
16.094,109.72,113.24,630,83.472,12.371,87.955,76.892,87.955,91.053,41.755,0
12.803,110.64,113.41,901,88.986,7.6312,89.613,85.605,89.613,96.34,63.982,1
17.705,106.88,112.69,728,80.506,11.845,82.078,70.869,82.078,91.041,47.626,1
19.594,107.65,114.09,826,77.66,17.845,85.474,67.913,85.474,91.674,22.719,0
16.027,111.69,116.66,4364,82.772,16.214,88.524,73.57,88.524,95.798,23.634,2
16.072,111.6,118.69,548,84.022,15.911,88.871,80.593,88.871,94.907,26.982,0
13.343,114.69,118.75,1032,88.671,13.753,93.147,85.334,93.147,97.965,44.037,1
18.467,108.45,112.89,939,77.583,15.994,82.782,64.277,82.782,88.687,28.042,2
15.8,108.26,112.54,919,79.692,14.714,84.247,66.379,84.247,91.674,36.27,1
19.895,106.24,112.65,2441,74.638,17.874,79.374,64.605,79.374,88.401,10.716,2
18.142,108.22,112.95,1564,76.99,13.13,77.181,66.878,77.181,86.912,35.292,1
21.431,104.8,112.63,1032,71.057,16.882,74.207,59.655,74.207,85.969,30.163,1
24.388,103.54,112.62,477,69.024,20.636,72.534,58.363,72.534,86.166,19.236,0
15.688,110.7,112.96,2217,80.655,15.62,85.684,72.127,85.684,92.589,18.403,2
